Category_Number,UPC,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9
1517_Pie Filling,4172510208,FRUIT,CHERRY,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510207,FRUIT,PEACH,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510213,FRUIT,APPLE,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510209,FRUIT,BLUEBERRY,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510113,FRUIT,APPLE,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510102,FRUIT,APRICOT,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510106,FRUIT,PINEAPPLE,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510101,NUT,POPPY SEED,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510105,FRUIT,PRUNE,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510110,FRUIT,RASPBERRY,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510114,FRUIT,STRAWBERRY,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510104,ALL OTHER,DATE,BAKERS,BAKERS,,,,,
1517_Pie Filling,4172510103,NUT,NUT,BAKERS,BAKERS,,,,,
1517_Pie Filling,1600042940,CRUST,GRAHAM,BETTY CROCKER,BETTY CROCKER,,,,,
1517_Pie Filling,65272912342,ALL OTHER,MINCEMEAT,BORDENS,BORDENS,,,,,
1517_Pie Filling,1760004377,ALL OTHER,SWEET POTATO,BRUCE,BRUCE,,,,,
1517_Pie Filling,4125583655,FRUIT,BLUEBERRY,COMSTOCK,COMSTOCK,,,,,
1517_Pie Filling,4125543081,FRUIT,CHERRY,COMSTOCK,COMSTOCK,,,,,
1517_Pie Filling,4125501520,FRUIT,COUNTRY APPLE,COMSTOCK,COMSTOCK,,,,,
1517_Pie Filling,4125511140,FRUIT,PEACH,COMSTOCK,COMSTOCK,,,,,
1517_Pie Filling,4125583656,FRUIT,CHERRY,COMSTOCK,COMSTOCK,,,,,
1517_Pie Filling,4125583626,FRUIT,KEY LIME,COMSTOCK,COMSTOCK,,,,,
1517_Pie Filling,4125583625,FRUIT,LEMON,COMSTOCK,LEMON,,,,,
1517_Pie Filling,4125543078,FRUIT,BLUEBERRY,COMSTOCK,BLUEBERRY,,,,,
1517_Pie Filling,4125543117,FRUIT,CHERRY,COMSTOCK,CHERRY,,,,,
1517_Pie Filling,4125543206,FRUIT,BLACKBERRY,COMSTOCK,BLACKBERRY,,,,,
1517_Pie Filling,4125543207,FRUIT,RASPBERRY,COMSTOCK,RASPBERRY,,,,,
1517_Pie Filling,4125543094,FRUIT,STRAWBERRY,COMSTOCK,STRAWBERRY,,,,,
1517_Pie Filling,4125583634,FRUIT,BERRY MEDLEY,COMSTOCK,BERRY MEDLEY,,,,,
1517_Pie Filling,4125583630,FRUIT,CARAMEL APPLE,COMSTOCK,CARAMEL APPLE,,,,,
1517_Pie Filling,4125543185,FRUIT,COUNTRY CHERRY,COMSTOCK,COUNTRY CHERRY,,,,,
1517_Pie Filling,4125543179,FRUIT,CHERRY LITE,COMSTOCK,CHERRY LITE,,,,,
1517_Pie Filling,4125543072,FRUIT,APPLE,COMSTOCK,APPLE,,,,,
1517_Pie Filling,4125583613,FRUIT,APPLE NO SUGAR ADDED,COMSTOCK,APPLE NO SUGAR ADDED,,,,,
1517_Pie Filling,4125583612,FRUIT,CHERRY NO SUGAR ADDED,COMSTOCK,CHERRY NO SUGAR ADDED,,,,,
1517_Pie Filling,4125583629,FRUIT,APPLE CRANBERRY,COMSTOCK,APPLE CRANBERRY,,,,,
1517_Pie Filling,70119306054,Wrong Category,Wrong Category,Wrong Category,Wrong Category,,,,,
1517_Pie Filling,4164212251,Wrong Category,Wrong Category,Wrong Category,Wrong Category,,,,,
1517_Pie Filling,63888200200,PUMPKIN,PUMPKIN,FARMER MARKET,PUMPKIN,,,,,
1517_Pie Filling,7067200051,PUMPKIN,PUMPKIN,FESTAL,PUMPKIN,,,,,
1517_Pie Filling,73788096055,CRUST,REGULAR,GLUTINO,REGULAR,,,,,
1517_Pie Filling,4133102532,PUMPKIN,PR CALABAZA,GOYA,PR CALABAZA,,,,,
1517_Pie Filling,40552014587,PUMPKIN,PUMPKIN,GREAT VALUE,PUMPKIN,,,,,
1517_Pie Filling,7874203685,PUMPKIN,PUMPKIN,GREAT VALUE,PUMPKIN,,,,,
1517_Pie Filling,7874237110,FRUIT,APPLE,GREAT VALUE,APPLE,,,,,
1517_Pie Filling,7874201791,PUMPKIN,PUMPKIN,GREAT VALUE,PUMPKIN,,,,,
1517_Pie Filling,7874237111,FRUIT,BLUEBERRY,GREAT VALUE,BLUEBERRY,,,,,
1517_Pie Filling,7874237108,FRUIT,CHERRY,GREAT VALUE,CHERRY,,,,,
1517_Pie Filling,60538818759,CRUST,GRAHAM,GREAT VALUE,GRAHAM,,,,,
1517_Pie Filling,7874210795,FRUIT,APPLE,GREAT VALUE,APPLE,,,,,
1517_Pie Filling,7874227730,FRUIT,CHERRY,GREAT VALUE,CHERRY,,,,,
